transaction_id,product_id,transaction_date,quantity_sold
T001,P001,2024-04-01,2
T002,P002,2024-04-01,5
T003,P003,2024-04-02,10
T004,P004,2024-04-03,3
T005,P005,2024-04-03,7
T006,P006,2024-04-04,15
T007,P007,2024-04-05,4
T008,P008,2024-04-05,6
T009,P009,2024-04-06,8
T010,P010,2024-04-06,2
T011,P011,2024-04-07,9
T012,P012,2024-04-07,11
T013,P013,2024-04-08,5
T014,P014,2024-04-08,4
T015,P015,2024-04-09,1
T016,P016,2024-04-10,2
T017,P017,2024-04-10,12
T018,P018,2024-04-11,6
T019,P019,2024-04-12,5
T020,P020,2024-04-12,3
T021,P001,2024-04-13,1
T022,P002,2024-04-13,4
T023,P003,2024-04-14,9
T024,P004,2024-04-15,2
T025,P005,2024-04-15,5
T026,P006,2024-04-16,20
T027,P007,2024-04-17,3
T028,P008,2024-04-18,7
T029,P009,2024-04-19,6
T030,P010,2024-04-19,1
T031,P001,invalid_date,2
T032,P999,2024-04-20,3
T033,P003,2024-04-21,-5
